time,regd,power,in1,in2,heatflow,pressure
855.39170061607,0.792352,0.793137312853079,0.360984432,0.41847,1.39115266213027,18.6876798054504
855.448886941074,0.792352,0.793724977952593,0.360984432,0.41847,1.39051616612056,18.6864987466077
855.506073266079,0.792352,0.794277440205442,0.360984432,0.41847,1.38988220241095,18.6853173757046
855.557793215527,0.792352,0.794719968676674,0.360984432,0.41847,1.38931121739023,18.6842486967301
855.60748222271,0.792352,0.795073273497471,0.360984432,0.41847,1.38876495026603,18.6832217993537
855.656674158017,0.792352,0.795337349804342,0.360984432,0.41847,1.3882265176925,18.6822050185982
855.706355936292,0.792352,0.79550450259084,0.360984432,0.41847,1.38768526781077,18.6811779736581
855.757556318912,0.792352,0.795562383194742,0.360984432,0.41847,1.38713030746669,18.680119406162
855.811817630828,0.792352,0.795491366294955,0.360984432,0.41847,1.38654548794278,18.6789974281264
855.872644424312,0.792352,0.795250684055058,0.360984432,0.41847,1.3858941961695,18.6777395595135
855.944727912491,0.792352,0.794760748358893,0.360984432,0.41847,1.38512859270112,18.6762487508312
856,0.779928,0.794256770959431,0.352710048,0.41847,1.38454636226037,18.6751055317593
856.022403196171,0.779928,0.794026757516068,0.352710048,0.41847,1.38431160689897,18.6746420316153
856.044806392342,0.779928,0.79378453913175,0.352710048,0.41847,1.38407756521018,18.6741779942258
856.070871087887,0.779928,0.793489408528174,0.352710048,0.41847,1.38380613166769,18.6736370179688
856.099696765669,0.779928,0.793148241415705,0.352710048,0.41847,1.38350694165264,18.6730370641863
856.132440119502,0.779928,0.792743209361772,0.352710048,0.41847,1.38316822344287,18.6723532689222
856.170700204851,0.779928,0.792246314661842,0.352710048,0.41847,1.38277375180187,18.6715511461998
856.215077662036,0.779928,0.791635638352406,0.352710048,0.41847,1.38231766450465,18.67061674543
856.265671272981,0.779928,0.790889157756922,0.352710048,0.41847,1.38179916257462,18.6695465999631
856.320677282501,0.779928,0.79001067437012,0.352710048,0.41847,1.38123671032893,18.6683778660617
856.373199398061,0.779928,0.78910438603822,0.352710048,0.41847,1.38070046027242,18.6672573992316
856.425169418135,0.779928,0.788145733413475,0.352710048,0.41847,1.38017028656862,18.6661449051887
